id,price_id,plan_id,device_price_local,monthly_installment,total_cost_24m_local,effective_device_price,notes
1,10,1,3734.0,173.67,6808.19,4168.19,Base plan: Business First Plus 110
2,11,1,4151.0,193.07,7273.67,4633.67,Base plan: Business First Plus 110
3,12,1,4986.0,231.91,8205.77,5565.77,Base plan: Business First Plus 110
4,13,1,2870.0,133.49,5843.72,3203.72,Base plan: Business First Plus 110
5,14,1,3288.0,152.93,6310.33,3670.33,Base plan: Business First Plus 110
6,15,1,2286.0,106.33,5191.81,2551.81,Base plan: Business First Plus 110
7,16,1,2495.0,116.05,5425.12,2785.12,Base plan: Business First Plus 110
8,17,1,4191.0,194.93,7318.33,4678.33,Base plan: Business First Plus 110
9,18,1,4972.0,231.26,8190.14,5550.14,Base plan: Business First Plus 110
10,19,1,5754.0,267.63,9063.07,6423.07,Base plan: Business First Plus 110
11,20,1,3822.0,177.77,6906.42,4266.42,Base plan: Business First Plus 110
12,21,1,4605.0,214.19,7780.47,5140.47,Base plan: Business First Plus 110
13,22,1,2995.0,139.3,5983.26,3343.26,Base plan: Business First Plus 110
14,23,1,3363.0,156.42,6394.05,3754.05,Base plan: Business First Plus 110
15,24,1,3734.0,173.67,6808.19,4168.19,Base plan: Business First Plus 110
16,25,1,4151.0,193.07,7273.67,4633.67,Base plan: Business First Plus 110
17,26,1,4986.0,231.91,8205.77,5565.77,Base plan: Business First Plus 110
18,27,1,2870.0,133.49,5843.72,3203.72,Base plan: Business First Plus 110
19,28,1,3288.0,152.93,6310.33,3670.33,Base plan: Business First Plus 110
20,29,1,2286.0,106.33,5191.81,2551.81,Base plan: Business First Plus 110
21,30,1,2495.0,116.05,5425.12,2785.12,Base plan: Business First Plus 110
22,31,1,4191.0,194.93,7318.33,4678.33,Base plan: Business First Plus 110
23,32,1,4972.0,231.26,8190.14,5550.14,Base plan: Business First Plus 110
24,33,1,5754.0,267.63,9063.07,6423.07,Base plan: Business First Plus 110
25,34,1,3822.0,177.77,6906.42,4266.42,Base plan: Business First Plus 110
26,35,1,4605.0,214.19,7780.47,5140.47,Base plan: Business First Plus 110
27,36,1,2995.0,139.3,5983.26,3343.26,Base plan: Business First Plus 110
28,37,1,3363.0,156.42,6394.05,3754.05,Base plan: Business First Plus 110
